"51","I am Fine, Thank you ","86","2019-05-17","26","76","85"
"52","Have you looked at the project description ?","26","2019-05-17","86","76","85"
"53","Yes ,I did It looks great ","86","2019-05-17","26","76","85"
"54","Ok, I also had a look at the proposal ","26","2019-05-17","86","76","85"
"55","What do you think ?","86","2019-05-17","26","76","85"
"56","I will get back to you on Sunday ","26","2019-05-17","86","76","85"
"57","Ok Sure ","86","2019-05-17","26","76","85"
"58","Hi, looked at the project description ?","43","2019-08-01","6","95","94"
"59","Yes, I want to be involved","6","2019-08-01","43","95","94"
"60","Ok, I can pay you more If you deliver in time","43","2019-08-01","6","95","94"
"61","But your analysis report will take longer ","6","2019-08-01","43","95","94"
"62","Sure, Please make it quick ","43","2019-08-01","6","95","94"
"63","Ok, I will try my best ","6","2019-08-01","43","95","94"
"64"," not great reviews but i give one chance","40","2019-05-17","7","96","95"
"65","Sure, I am thankful for your offer","7","2019-05-17","40","96","95"
"66","But I expect high quality work ","40","2019-05-17","7","96","95"
"67","sure, I will do my best ","7","2019-05-17","40","96","95"
"68"," Please  finish 1 week before deadline ","40","2019-05-17","7","96","95"
"69","Sure ","7","2019-05-17","40","96","95"
"70","Can you send me daily updates ? ","40","2019-05-17","7","96","95"
"71","Yes, I will begin work from tomorrow ","7","2019-05-17","40","96","95"
"72","I will leave a good review if I am satisfied.","40","2019-05-17","7","96","95"
"73","Thank you !! ","7","2019-05-17","40","96","95"
"74","Hello","40","2019-05-18","8","96","96"
"75","hello Sir How are you this morning ?","8","2019-05-18","40","96","96"
"76","I am fine, What about you ?","40","2019-05-18","8","96","96"
"77","I am good too, Thanks ! ","8","2019-05-18","40","96","96"
"78","This is your interview. ","40","2019-05-18","8","96","96"
"79","Ok Sure, what would you like to know ","8","2019-05-18","40","96","96"
"80","What is your experience ","40","2019-05-18","8","96","96"
"81","I have worked for 5 years in similar projects","8","2019-05-18","40","96","96"
"82","Ok, Can you deliver in time ?","40","2019-05-18","8","96","96"
"83","yes ","8","2019-05-18","40","96","96"
"84"," Extra pay if I get the quality as expected","40","2019-05-18","8","96","96"
"85","Sure, Shall I begin work from Wednesday ?","8","2019-05-18","40","96","96"
"86","Yes, Sure. ","40","2019-05-18","8","96","96"
"87","Please let me know more about yourself","40","2019-05-19","9","96","97"
"88","worked in Data Science for 3 years","9","2019-05-19","40","96","97"
"89","What is your age ?","40","2019-05-19","9","96","97"
"90","I am 27 years old ","9","2019-05-19","40","96","97"
"91","What projects have you worked in the past ?","40","2019-05-19","9","96","97"
"92","worked for the Amazon in the past ","9","2019-05-19","40","96","97"
"93"," can you deliver this project in time ?","40","2019-05-19","9","96","97"
"94","Sure I can ","9","2019-05-19","40","96","97"
"95","Ok, Please proceed with the work. ","40","2019-05-19","9","96","97"
"96","Hi","40","2019-05-21","6","96","99"
"97","Hello ","6","2019-05-21","40","96","99"
"98","Please begin the work from Next Friday","40","2019-05-21","6","96","99"
"99","Did you take a look at the proposal ","6","2019-05-21","40","96","99"
"100","yes, I am fine with the proposal ","40","2019-05-21","6","96","99"
"101","Ok Sure","6","2019-05-21","40","96","99"
"102","Thanks ","40","2019-05-21","6","96","99"
"103","Welcome ","6","2019-05-21","40","96","99"
"104","Hi ","60","2019-05-03","49","27","38"
"105","hello","49","2019-05-03","60","27","38"
"106","I will get back to you on sunday ","60","2019-05-03","49","27","38"
"107","Sure","49","2019-05-03","60","27","38"
